_id,closing,contract_location,contract_value,details_url,notice_status,notice_type,provider,publication_date,summary,title
60adf372824d09ebe4e3f442,"25 June 2021, 12pm",CT2 7NY,"£0 to £50,000",https://www.contractsfinder.service.gov.uk/notice/a1f54b91-a73e-4942-ab79-d1429591567b?origin=SearchResults&p=1,Open,Opportunity,University of Kent,25 May 2021,Small project,Fire Alterations to Keynes College
60adf373824d09ebe4e3f443,"3 June 2021, 12pm",England,"£165,150",https://www.contractsfinder.service.gov.uk/notice/a55f8ce6-178d-4602-abf4-580e3576f6e4?origin=SearchResults&p=1,Open,Opportunity,Doncaster MBC,25 May 2021,"Doncaster Council (""the Council"") is conducting this procurement process via Pro Contract to appoint a suitably qualified, experienced, and innovative organisation who can demonstrate their ability to work with the Council, Doncaster Future Parks (DFP), Get Doncaster Moving (GDM) and partners including Sport England (SE), park focused groups and the wider local community. We are looking for a provider to facilitate and encourage growth in engagement with volunteer participation across the Doncaster Green Space Network, contributing to the delivery of the DFP.",Doncaster Green Space Network Co-ordinator
60adf373824d09ebe4e3f444,"16 June 2021, 12pm",England,£0,https://www.contractsfinder.service.gov.uk/notice/a5dd8c36-8c00-40db-9ff5-928993f0ec65?origin=SearchResults&p=1,Open,Opportunity,Durham County Council,25 May 2021,This contract is for the supply and installation of ground stabilizing grout and all associated design works at Morrison Busty - New build maintenance vehicle garage. The documents must be downloaded from www.nepo.org and insert reference DN 546473 within the supplier area search,Morrison Busty - New build maintenance vehicle garage Supply and installation of ground stabilizing grout and all associated design works
60adf373824d09ebe4e3f445,NA,PE28 2EA,"£113,000 to £870,000",https://www.contractsfinder.service.gov.uk/notice/bcd4a3eb-0f89-465e-b71b-d441f8f6576e?origin=SearchResults&p=1,Open,Future opportunity,Ministry of Defence,25 May 2021,"Installation of Air Source Heating Systems at 5 sites - 20 properties per site1. Bulford, Wiltshire2. Bassingbourn, nr. Royston3. Chicksands, nr. Bedford4. Kineton, nr. Starford-Upon-Avon5. Woodbridge, nr. IpswichBrief scope of works likely to include:a. Strip out the existing system (electric or oil) in its entiretyb. Supply and fit new Air Source Heating Systemc. Upgrade loft insulationd. Associated making-good worksFor Amey to accept any Expression of Interest it is ESSENTIAL that any subcontractor is a member of Constructionline at GOLD LEVEL 3.If successful the subcontractor will need to pass a pre-qualification questionnaire, sign up to Amey Terms and Conditions, and meet the MoD Security Requirements. This advert is for Expressions of Interest (BY EMAIL ONLY) - from the responses and our existing subcontractor data base we shall compile the tender list. Tender packs will follow separately (by email).Note 1: The bidder must quote for all aspects of the Works.Note 2: Future works of a similar nature may be negotiated based upon submitted rates.",Air Source Heating Systems Installation (5 sites - 20 properties per site)
60adf373824d09ebe4e3f446,"21 June 2021, 12pm","North East, Yorkshire and the Humber","£2,433,888",https://www.contractsfinder.service.gov.uk/notice/9a1f7874-9ba7-44dd-80a4-2775137ef64e?origin=SearchResults&p=1,Open,Opportunity,North Of England Commissioning Support,25 May 2021,"North of England Commissioning Support (NECS) is a commissioning support service working for and on behalf of NHS Value of York Clinical Commissioning Group and NHS North Yorkshire Clinical Commissioning Group (the Contracting Authorities) and is managing this procurement process. The CCG is commissioning a Community Eye Care Service.  The contract will be for an initial period of 3 years and 4 months with the option to extend for a further 2 years subject to satisfactory performance.  The contract will take effect on 01 December 2021.This procurement process will mirror that of the Open procedure as in compliance with the Public Contracts Regulations 2015 (as amended) in respect of Health Care Services under the Light Touch Regime, Regulations 74 - 76 and the National Health Service (Procurement, Patient Choice & Competition) (No. 2) Regulations 2013.  Under the Public Services (Social Value) Act 2012 the Contracting Authority must consider:(a) How, what is proposed to be procured might improve the economic, social and environmental well-being of the area where it exercises its functions; and(b) How, in conducting the process of procurement, it might act with a view to securing that improvement.Accordingly, the subject matter of the contract has been scoped to take into account the priorities of the Contracting Authority relating to economic, social and environmental well-being.The Transfer of Undertakings (Protection of Employment) Regulations 2006 (as amended) may apply. Bidders are advised to obtain their own legal advice and carry out due diligence including the New Fair Deal non-statutory policy setting out how pensions issues are to be dealt with when staff are compulsorily transferred from the public sector to independent providers delivering public services. NECS is utilising an electronic tendering tool to manage this procurement and communicate with potential bidders. Accordingly, there will be no hard copy documents issued to potential bidders and all communications with NECS, including your submission, will be conducted via the in-tend portal https://in-tendhost.co.uk/nhsnecsuIt is free to register on the portal and it can be accessed at any time of day providing you have a working internet connection. Should bidders have any queries, or are having problems registering on the portal; they should contact the in-tend helpdesk via:support@in-tend.com or call us on 0845 557 8079 / +44 (0) 114 407 0065The helpdesk is open Monday - Friday between 9am - 5.30pmThe procurement will be available to view on the In-Tend e-tendering portal on 25 May 2021The closing date for submission of tenders is 12:00 noon 21 June 2021.",Community Eye Care Services
60adf374824d09ebe4e3f447,"25 June 2021, 12pm",England,"£150,000",https://www.contractsfinder.service.gov.uk/notice/0bb93c10-573e-434b-b930-693a848a897c?origin=SearchResults&p=1,Open,Opportunity,Orbit Group Limited,25 May 2021,"Orbit Group, as part of its Orbit Homes development arm, runs its own Sales and Marketing activity for new developments and requires call tracking and monitoring software that enables the authority to accurately track visitor volumes to it's webpages and inform the authority of levels of engagement in relation to its new development sites.The requirement includes two call tracking packages (one for larger sites and one for smaller sites) that will include numbers made up of any variation of the following;Dynamic numberSignageGoogle My BusinessFacebook AdsGoogle AdsProperty Portals (Rightmove, New Homes For Sale, Zoopla, Help to Website, Share to Buy, Property Booking)Brochures and Printed CollateralDirect MailPR and EditorialsEmailers databaseEmailers portalsLocal pressOrganic social media (Facebook and Instagram)OOHRadioPotential Contractors should access the documents via www.housingprocurement.com",Call Tracking Software
60adf374824d09ebe4e3f448,"28 May 2021, 12pm",B70 8SZ,"£4,808.52 to £5,634.36",https://www.contractsfinder.service.gov.uk/notice/93ab1fbf-337a-44f3-b761-0dcd83b2f172?origin=SearchResults&p=1,Open,Opportunity,Sandwell Metropolitan Borough Council,25 May 2021,"Job Title:  Pensions Officer x 2      Rate of Pay: £10.83 per hour (maybe able to negotiate depending on candidate experience)      Hours: 37 hours per week      Location: Working from home      Start Date: ASAP      Contract type: Agency. End date for 12 weeks with a view to extend further.            Job Description and Personnel Specification are attached, which also provides more information above the role.            Brief description:            We are looking to recruit two Pensions Officers who are enthusiastic individuals to work in a very fast paced environment within HR Transactional Services. As part of the Pensions team, the successful candidate will work flexibly within the team to help deliver a timely and effective service to employees. You must have experience of working in a busy pensions environment (ideally Public Sector). You must be able to demonstrate previous experience of redundancy calculations together with pension scheme regulations and procedures. A working knowledge of the LGPS and Teachers Pension monthly data collection process and the respective scheme web portals is preferable. Having good administration and customer services skills, being well organised and the ability to work independently with excellent attention to detail, are all essential requirements for this role. Handling enquiries from a range of audiences, as well as organising and maintaining accurate records using ICT systems including Microsoft Office and Oracle Applications. This role is 37 hours per week and will require working from home. The rate of pay for this role is £10.83 per hour. Candidates must be immediately available. Please ensure you only send candidates who are fully compliant so there are no delays with start dates. Interviews to take place via Teams during the last week of May/first week in June. Please see JD and PS for further information.            Please can the agencies send over a CV, 2x up to date references and a copy of Terms and Conditions. You will also need to include your agency on cost details to each submission.  Stated rates must be inclusive of all known costs.            No DBS is required for this role.             Please note this advert is also out with our Master Vendor            You will receive further information regarding invoice terms if your candidate is appointed to this role.  Invoices must be sent electronically on a weekly basis to templink_1@sandwell.gov.uk along with your workers authorised timesheet supplied by your agency. Payments are then released 14 days from the date of the invoice.            The Council will be using the In-tend e-Tendering System for this Procurement opportunity, please visit https://in-tendhost.co.uk/sandwellmbc to access the Sandwell MBC In-tend Supplier Portal.      From here you will be able to register your company, express an interest in the opportunity, and gain immediate access to the related documents.      To submit your documents, you will be required to opt in.      For a Step by Step user guide to the...",Pensions Officer x 2 KB250521
60adf374824d09ebe4e3f449,"25 June 2021, 12pm",Yorkshire and the Humber,"£4,000,000",https://www.contractsfinder.service.gov.uk/notice/10c34545-abd1-4676-a4f7-ad59d997a38b?origin=SearchResults&p=1,Open,Opportunity,University of Leeds,25 May 2021,"Provision of Pig Feed for Spen Farm, Tadcaster, UK",Provision of Pig Feed
60adf374824d09ebe4e3f44a,"8 June 2021, 12am",Any region,£0.01,https://www.contractsfinder.service.gov.uk/notice/fa6c9d91-2fd4-4ded-a541-5b80c05b0211?origin=SearchResults&p=1,Open,Opportunity,East West  Rail Company,25 May 2021,"East West Rail is an ambitious project that involves bringing back into use a section of railway that was closed to passengers in the 1960s, refurbishing existing railway lines between Oxford and Bedford, as well as building brand new railway infrastructure between Bedford and Cambridge.            East West Railway Company (EWR Co) was set up as an innovative new way to deliver this project with a customer focus and excellent value-for-money.             Further information on the East West Rail values and objectives can be found in the linked video. East West Rail: https://www.youtube.com/watch?v=WC-SYIHNe6I",East West Rail Company (EWR Co) CS2 & CS3 Route Wide: Pre-Procurement Market Engagement
60adf374824d09ebe4e3f44b,"8 June 2021, 12pm",North East,"£10,000 to £25,000",https://www.contractsfinder.service.gov.uk/notice/b4e03a1a-9b88-458f-a61f-c3be46ff2bf9?origin=SearchResults&p=1,Open,Opportunity,Northumbria University,25 May 2021,"Northumbria University require a H2 generator meeting the requirements for producing at least 85 sL/h, pressure output of at least 5 bar, purity at least 99.999%, low maintenance and efficient drying system producing highly dry H2 gas. The H2 generator will be used in a laboratory supplying hydrogen to a gas fermentation system installed in a fume cupboard. It must be delivered to us within 4 weeks from the date of purchase and no later than 16th July 2021.",GB-Newcastle Upon Tyne: T20-0051 Hydrogen Generator
60adf377824d09ebe4e3f44c,"15 June 2021,  5pm",AL1 3JE,£0,https://www.contractsfinder.service.gov.uk/notice/de60e359-af5d-4393-81c4-9d576effd561?origin=SearchResults&p=2,Open,Opportunity,St Albans City & District Council,25 May 2021,"St Albans City and District Council is looking to commission a suitably qualified and experienced organisation for Sustainability Appraisal, Strategic Environmental Assessment and Habitats Regulations      The deadline for submission is 17:00 on 15 June 2021      Note - tender returns must be uploaded on Supply Hertfordshire/In-Tend accordance with the Instructions for Tender.      Enquiries on this project should be submitted via Supply Hertfordshire/In-Tend","SADC Sustainability Appraisal, Strategic Environmental Assessment and Habitats Regulations"
60adf377824d09ebe4e3f44d,"22 June 2021,  3pm","North East, North West, Yorkshire and the Humber, East Midlands, West Midlands, East of England, London, South East, South West","£2,000,000",https://www.contractsfinder.service.gov.uk/notice/7f234085-d1b9-4154-abaa-1e899523fbf4?origin=SearchResults&p=2,Open,Opportunity,Defra Network eTendering Portal,25 May 2021,"The Environment Agency (EA) want to appoint 5 contractors to a framework to help support our work with stakeholders. These framework contractors will help EA staff plan, facilitate and evaluate effective stakeholder engagement processes relevant to our work. This contract notice is for a Restricted tender process and as such is a call for competition for stage 1 (supplier selection). Following the initial evaluation, 8 of the highest scoring suppliers will be invited to the Invitation to Tender.",Stakeholder Engagement Advice and Facilitation Services (SEAFS)
60adf377824d09ebe4e3f44e,25 August 2021,SS2 6GE,NA,https://www.contractsfinder.service.gov.uk/notice/c57132d6-8e1b-4f42-82d3-23ece4c7b11f?origin=SearchResults&p=2,Open,Early Engagement,MSE Group,25 May 2021,Maintain building HSDU building and equipment. SSD Equipment and Estates equipmentIncludes Lots: Lot 1: Fully Managed ServiceLot 2: Fully managed service NOT all inclusiveLot 3: Managed Service but only for SSD EquipmentLot 4: Managed Service Estates Equipment OnlyTo access this competition: Registered:Login to https://suppliers.multiquote.com and view the opportunity CA8809.Not registered:Visit https://suppliers.multiquote.com then register and quote CA8809 as the reason for registration.  Any queries please contact MultiQuote on 0151 482 9230.,CA8809 - HSDU Building & Equipment Maintenance Contract
60adf377824d09ebe4e3f44f,"15 June 2021, 12pm",Yorkshire and the Humber,"£210,000",https://www.contractsfinder.service.gov.uk/notice/bc4abaa3-5ce8-4238-994e-a5ec97175f26?origin=SearchResults&p=2,Open,Opportunity,North Yorkshire County Council,25 May 2021,The Authority wishes to award a contract for an Occupational Therapy provision for our SEND hubs - specifically to work within our newly developed Targeted Mainstream Provisions and to provide assessments and any agreed training to them as well as advice and expert witness to SEND Tribunals,Occupational Therapy Provision for Targeted Provisions and Tribunals
60adf377824d09ebe4e3f450,"8 June 2021, 12pm",Wales,"£150,000",https://www.contractsfinder.service.gov.uk/notice/9243cee7-3f17-4fae-a5e4-f65424329bc6?origin=SearchResults&p=2,Open,Opportunity,UNIVERSITY OF SHEFFIELD,25 May 2021,"The requirement is for a Real-Time Localisation System enabling tracking of 10 tools and 100 items within the workshop area of AMRC Cymru, measuring 58 and 28 meters in length and width respectively as well as within a dedicated 4 by 4 meters room.The system should enable tracking individual items and tools within millimetre accuracy and detect position and orientation of the tracked items.The system is to be installed at the Advanced Manufacturing Research Centre in Wales:AMRC CymruChester RoadBrettonCH4 0DHUK",Real-Time Location System (RTLS) for asset and people tracking
60adf378824d09ebe4e3f451,"25 June 2021, 12pm",UB8 1UW,"£319,000",https://www.contractsfinder.service.gov.uk/notice/e05d6577-9007-4044-af75-67d9003bebb4?origin=SearchResults&p=2,Open,Opportunity,London Borough of Hillingdon,25 May 2021,"The London Borough of Hillingdon wishes to appoint an experienced service provider for the servicing, maintenance and repairs of Ventilation Units ensuring compliance with all relevant industry, manufacturers, and safety standards. Hillingdon Council has a housing stock portfolio of over 11,000 properties covering General Needs Housing, Sheltered Housing, Supported Housing.The purpose of this tender is to award the contract to one supplier to provide the Provision of the Annual Service, Maintenance and Repair of Communal & Dwelling Ventilation Units in Council Housing Properties","Provision of the Annual Service, Maintenance and Repair of Ventilation Units"
60adf378824d09ebe4e3f452,"18 June 2021,  5pm",London,"£60,000",https://www.contractsfinder.service.gov.uk/notice/f443c499-6f04-4580-b267-1398ceed6f53?origin=SearchResults&p=2,Open,Opportunity,London Waste And Recycling Board,25 May 2021,"This invitation to tender is for campaign strategy, design, creative and production for the London Recycles campaign from July 2021 to the end of March 2023. We are seeking an agency that is 'media-neutral' to help us influence the attitudes and behaviours of Londoners to reduce waste and increase recycling rates across the capital.",London Recycles: Consumer behaviour change campaign
60adf378824d09ebe4e3f453,"28 May 2021, 11pm",Yorkshire and the Humber,"£25,000 to £50,000",https://www.contractsfinder.service.gov.uk/notice/a8616eea-eb20-43a5-85ec-0cd0d1643dfe?origin=SearchResults&p=2,Open,Opportunity,University of Leeds,25 May 2021,"An external agency is required to:      Evaluating the existing CDRC Leeds training offer; to include:       Quality-assuring the established course programme (this work needs to be academically-led; in other words,      the preferred supplier will need to be able to demonstrate an appropriate level of prior credentials in data      science and analytics)       Making an independent assessment of its compatibility with CPD (Continuing Professional Development)      accreditation       If appropriate, issuing a CPD certification       Evaluating which content within the existing CDRC offer can be converted into digital courses.      (ii) Recommending and, if possible, designing additional digital as well as face-to-face courses for incorporation      into the existing offer. This will include:       Identifying current gaps in the external data science training market       Identifying and exploiting existing CDRC Leeds assets, skills and areas of expertise       Identifying key digital and sector audiences for data analytics training so as to broaden the reach of the      CDRC training portfolio beyond academia into industry and the public sector       Consideration of intelligence on priority skills and capability-related needs from existing CDRC Leeds      partners / networks.",GB-Leeds: 2021/220 CDRC Training Consultancy
60adf378824d09ebe4e3f454,"15 June 2021, 12pm",Any region,"£0 to £50,000",https://www.contractsfinder.service.gov.uk/notice/babb231c-543a-469e-a719-1ac37cddbf85?origin=SearchResults&p=2,Open,Opportunity,Jisc,25 May 2021,Jisc is looking for an agency partner to work with us in the development of a campaign to support awareness and generate leads.,B2B Marketing Campaign Services
60adf379824d09ebe4e3f455,"23 June 2021,  5pm",RG14 5LD,"£800,000 to £850,000",https://www.contractsfinder.service.gov.uk/notice/b907b28a-e396-4cce-ac55-2062af8b05ef?origin=SearchResults&p=2,Open,Opportunity,West Berkshire,25 May 2021,"Carry out Mechanical and Electrical works installations based on the Public Sector Decarbonisation Scheme funding requirements and as per detailed designs included in this tender package.       The installations shall be carried out around school operations. Weekends shall be days with times agreed with the school. There is a possibility that the contractor may be able to work some days during school term, this is subject to a local agreement with the school during the progression of the project. You will need to ensure that delivery of the programme is compliant with the current Covid guidelines.","Public Sector Decarbonisation Scheme projects at:  Hermitage Primary School, Hungerford Primary School, Thatcham Family Hub, Thatcham Park Primary School"
60adf379824d09ebe4e3f456,"24 June 2021, 12pm",South West,"£150,000",https://www.contractsfinder.service.gov.uk/notice/21d4c31f-1e30-48f5-8f0c-2097005401f5?origin=SearchResults&p=2,Open,Opportunity,Swindon Borough Council,25 May 2021,"Waterproofing Works at Furlong Brook Culvert, Hannington Bridge & Sixties Culvert 2021Swindon Borough Council invites expressions of interest from suitably qualified and experienced service providers for the provision of waterproofing works at Furlong Brook Culvert, Hannington Bridge and Sixties Culvert.Project DescriptionWorks and materials are required to waterproof three bridge / culvert decks, with related concrete repairs and resurfacing.The initial contract term will be for 9 weeks as stated in the ITT documents.Full details relating to the Works are provided in the tender documents.To participate, Suppliers will need to Register as a Supplier with ProContract, www.supplyingthesouthwest.org.uk, then Register an Interest before obtaining access to the tender documents. In the event of difficulties registering as a supplier, please refer to the System Administrator Proactis support team ProContractSuppliers@proactis.comTender clarifications are to be submitted in writing via Messaging in ProContract tender portal by 17th June 2021, 1200 hrs UK Local time. The Council's responses to these clarification questions will be issued on the ProContract tender portal.Tender Responses are required to be submitted no later than 24th June 2021, 1200 hrs UK Local time via ProContract tender portal - https://www.supplyingthesouthwest.org.uk/Please note that this project has been advertised on Contracts Finder, however, Supplying the South West Portal, https://www.supplyingthesouthwest.org.uk/ is the only portal that includes all the relevant documents required to respond to this opportunity, bearing Project Id: DN546288.No Tender submissions will be considered without completing the tender documents in full including attachments and returning them in alignment with the instructions within the tender documents.","Waterproofing Works at Furlong Brook Culvert, Hannington Bridge & Sixties Culvert 2021"
60adf379824d09ebe4e3f457,"11 June 2021, 12pm",London,"£0 to £99,000",https://www.contractsfinder.service.gov.uk/notice/12e263f6-6c2b-4c09-aeb5-968dd49b4de2?origin=SearchResults&p=2,Open,Opportunity,London Borough Of Lambeth,25 May 2021,"Lambeth are seeking to appoint a consultancy for a 2 year period to provide support primarily to its Development Management service to enable it to deliver against its current planning policies and service delivery targets. Lambeth's preference is for the support to be provided by a single consultancy but there is the option for the support to be provided by multiple providers. The support will comprise of observations and advice on environmental matters relating to planning applications (generally excluding applications which are subject to Planning Performance Agreements) with occasional attendance at planning applications committee to provide technical advice to elected members if required.  The Development Management service is required to assess applications in relation to noise pollution, light pollution, development on contaminated land, waste disposal, flood risk, air quality, wind microclimate and fume extraction.","Provision of Environmental Observations for the Council's Development Management service"
60adf379824d09ebe4e3f458,"1 June 2021, 12pm",East of England,"£1,820,000",https://www.contractsfinder.service.gov.uk/notice/d0930f35-2d54-4151-9b39-bee00453d35b?origin=SearchResults&p=2,Open,Opportunity,EASTERN PROCUREMENT LIMITED,25 May 2021,"This opportunity offers Contractors the opportunity to work with Norwich City Council and their Consultants in order to carry out construction and refurbishment works at Carrow House, 301 King Street, Norwich, Norfolk, NR1 2TN. These works are being delivered as part of the East Norwich Masterplan under the Government funded Towns Deal programme.Carrow House consists of two main parts; a 1960's office block (New Carrow House) and Old Carrow House, a historic Grade II listed building, once the Colman family home.The works involve the refurbishment of the site, briefly summarised as:-• Full internal and external decoration• Stone, masonry and timber repairs to the Grade II Listed Old Carrow House and Conservatory• Renewal of electrical switch gear and sub mains distribution system throughout both buildings• New internal and external lighting throughout the site• Introduction of heat metering to the heating system• Overhaul of steel Crittal windows to New Carrow House• Concrete repairs to New Carrow House• Refurbishment and re-model of reception area• Renewal of all floor finishes• Limited notifiable asbestos removal • Resurfacing the car park• The contractor design portions are: • Mechanical and Electrical Installation, including renewal of mains switch gear and sub mains throughout site. New lighting internally and externally. • Concrete repair works to New Carrow House including any temporary works• External steps to New Carrow House",EPNCCCH21 - Carrow House Construction Project
