_id,created_ID,description,title
61117c53d6f9d1d8a1249a1b,2330466220,"In this module you will be introduced to computer aided drawing packages in which you will produce drawings of engineering items to British Standards. You will also develop necessary ICT skills in Word and Excel to enable you to convey information in the form of technical reports, with an emphasis on the presentation and layout of these reports to convey the required information. You will also develop skills in engineering problem solving using Excel applied to a range of practical engineering problems. There is an emphasis on ethical  design by engineers throughout. This module will also introduce some of the fundamental principles of thermodynamics,  and mass transfer relevant to the future course.",EG-111J Chemical Engineering Skills
61117c54d6f9d1d8a1249a3a,2330466220,"Students are required to tackle a variety of engineering problems and to work within a team to deliver results. This module tests a variety of fundamental engineering skills, highlights the importance of basic project management skills and serves to provide experience of working in partnership with others. Projects are student-led with support and feedback available from the staff during project classes. The module considers the formulation of both material and energy balances for operations which involve either recycle or by-pass systems, and is aligned with key concepts introduced in EG100 (Chemical Process Principles). The module also considers vapour-liquid equilibria with application to the basic design of unit operations. These concepts are then used to assist the design a manufacturing process and students are encouraged to further assess the safety impact of their chosen design. The team design project leads to the production of a design report which is the major assessed component within the module.

> Students will be required to complete a review which provides assessment of the team and individual team member performances.
> The redemption from failure mechanism in EGA102 does not involve supplementary coursework worth 100 marks.
> It is essential that all students contribute to the team project as failure to do so can contribute to failure of the module.",EGA102 Chemical Process Analysis and Design
61117c54d6f9d1d8a1249a3b,2330466220,"This module will introduce fundamental principles of thermodynamics, physical chemistry and mass transfer relevant to the course including: gas behaviour; properties of pure substances and mixtures; laws of thermodynamics and their applications to energy and state calculations; phase equilibria; diffusive and convective mass transfer; and mass transfer coefficients.",EGA114 Chemical Engineering Science
61117c55d6f9d1d8a1249a5c,2330466220,This module is a practical catch-up designed to ensure that students have the opportunity to undertake practical skills that may have been missed due to COVID19.,EGP201 Year 2 Chemical Practical
61117c5fd6f9d1d8a1249be6,7028301249,"This module provides a concise introduction to the elementary concepts and methods of finite element analysis, with applications to heat flow, solid mechanics, groundwater flow and other engineering problems. It also provides practice in using finite element software/codes.",EG-323 Finite Element Method
61117c5fd6f9d1d8a1249be7,7028301249,"Within this module students will be expected to complete a series of exercises that will the form the basis of a 'major' design. The scope of the module will involve the students to work in groups where they will consider, as a team, conceptual designs, embodiment using innovative approaches to design processes and standards etc., leading to final design documentations and manufacturing techniques.",EGA214 Mechanical Engineering Design 2
61117c60d6f9d1d8a1249bea,6438324105,Competence in engineering drawing using an industry standard CAD system and essential laboratory skills for Mechanical Engineers.,EG-110 Engineering Skills & Applications
61117c60d6f9d1d8a1249beb,6438324105,"This is a practical module introducing students to fundamental engineering skills including work in the laboratory, basic programming and groupwork in a design challenge. Engineering is more than understanding technical design, it is often the social, environmental and economic context underpinning engineering solutions that determine success or failure. The design challenge/ hackathon will allow you to engage with a real world engineering problem",EG-119 Engineering Laboratory and Design
61117c60d6f9d1d8a1249c05,7028301249,"This module provides a concise introduction to the elementary concepts and methods of finite element analysis, with applications to heat flow, solid mechanics, groundwater flow and other engineering problems. It also provides practice in using finite element software/codes.",EGIM09 Finite Element Method
61117c60d6f9d1d8a1249c08,6438324105,Competence in engineering drawing using an industry standard CAD system and essential laboratory skills,EG-163 Design and Laboratory Classes 1
