_id,created_ID,date,location,title
61117c86d6f9d1d8a124a1e7,6312147027,May 2017,5th International Congress on Bio-Sensing Technologies,"Minimally invasive, continuous glucose monitoring in human subjects"
61117c87d6f9d1d8a124a201,6312147027,June 2018,28th Anniversary World Congress on Biosensors - USA,Microneedle array-based platform for future theranostic applications
61117c87d6f9d1d8a124a202,6312147027,June 2018,World Congress on Biosensors,"Towards a fully scalable minimally invasive, continuous glucose monitoring sensor, Type 1 diabetes"
61117c87d6f9d1d8a124a203,6312147027,June 2019,BioSensing Tech,Development of a minimally invasive continuous lactate monitoring sensor for clinical and sports applications
61117c87d6f9d1d8a124a222,6312147027,November 2019,Diabetes Technology Meeting,Microneedles for Interstitial Fluid Physiology
61117c87d6f9d1d8a124a223,6312147027,2019,"Montpelier University, France",Continuous monitoring diagnostics with microneedle arrays
61117c99d6f9d1d8a124a52b,7075355064,November 2020,"Oman’s International Conference on Water Engineering and Management of Water Resources (OICWE2020), Oman",Keynote Speaker & Scientific Committee Member
61117c99d6f9d1d8a124a52c,7075355064,April 2020,"Nanjing, China","Conference Co-Chair, 11th International Conference on Weather Radar and Hydrology"
61117c9ad6f9d1d8a124a54b,7075355064,September 2019,"Swansea, UK",Conference Chair – 4th IMA International Conference on Flood Risk
61117c9ad6f9d1d8a124a54c,7075355064,April 2019,"First International Workshop of Water Disaster Mitigation, Sichuan University, China",Keynote - Quantitative Modelling of Climate Change Impact on Hydro-climatic Extremes
61117c9bd6f9d1d8a124a56a,7075355064,January 2019,"Flood Resilient Planning Strategies for Cultural Heritage in Southeast Asia , Bangkok, Thailand",Invited Presentation - Quantitative Modelling of Climate Change Impact on Flood Risks
61117c9bd6f9d1d8a124a56b,7075355064,October 2017,"The Second International To-level Forum on Engineering Science and Technology Development Strategy, Nanjing, China",Invited Speaker and Session Chair
61117c9bd6f9d1d8a124a58a,7075355064,March 2016,"University of Exeter, Exeter, UK","Invited Presentation - Quantitative Precipitation Forecast and Its Application in Flood Research”, University of Exeter"
61117c9bd6f9d1d8a124a58b,7075355064,August 2015,"University of Oxford, Oxford, UK","Invited Talk at the Regional Meeting on Water Scarcity in Israel and Palestine, funded by British Council"
61117c9cd6f9d1d8a124a5a9,7075355064,October 2015,"Flood Defence Expo 2015, London, UK",Keynote - Climate Data Downscaling
61117c9cd6f9d1d8a124a5aa,7075355064,May 2012,"UNESCO-IHE, Delft, Netherlands",One-day Guest Lecture – Climate Change and Data Downscaling
61117c9dd6f9d1d8a124a5c7,7075355064,July 2010,"National Meteorological Centre, China Meteorological Administration, Beijing, China",Invited Presentation – Ensemble Forecast for Flood Risk Management
61117cb3d6f9d1d8a124a932,4285762722,October 2018,IMechE – London,"The use of CFD in the design of a 1,000 mph car – BLOOHOUND SSC, an engineering adventure"
61117cb3d6f9d1d8a124a933,4285762722,October 2017,Leicester University Research Seminar,"The use of CFD in the design of a 1,000 mph car – BLOOHOUND SSC, an engineering adventure"
61117cb4d6f9d1d8a124a956,4285762722,August 2017,Innovate UK KTN Seminar,Uncertainty in Automotive CFD – ideas and lessons learnt from Bloodhound SSC
61117cb4d6f9d1d8a124a957,4285762722,June 2016,Oxford e-Research Centre,Invited Lecture
61117cb5d6f9d1d8a124a975,4285762722,May 2016,"ParCFD16 - Kobe, Japan","Invited Plenary Lecture: ‘The use of CFD in the design of BLOODHOUND SSC, an engineering adventure'"
61117cb5d6f9d1d8a124a976,4285762722,March 2014,Basque Center for Applied Mathematical,Modelling Turbomachinery and Aerodynamic Shape Optimisation Workshop
61117cb6d6f9d1d8a124a995,4285762722,September 2014,M.I.T. Department of Civil & Environmental Engineering,Invited Lecture
