_id,about,available_for,created_ID,first_name,last_name,location,title
61117c38d6f9d1d8a12495b2,"[""<p>Research contribution in the scientific areas that support net shape manufacturing and printing and coating technology.<br><br>Net shape manufacturing<br>Contributed significantly in developing and applying numerical and experimental techniques in casting process variants. Working closely with industry, this has led to documented experimental studies that may be used to benchmark simulation.<br><br>Recent work has also led for the first time to an integrated system to simulate the direct variant of the squeeze casting process together with an exploration of optimisation techniques that may be used to define process control.<br><br>Powder forming<br>One of the first to develop and apply numerical schemes to simulate the compaction process using a continuum approach and to support this by exploring methods to characterise the mechanical response of powder together with gathering pressing data for validation.<br><br>Undertaken research to develop and apply the combined discrete and finite element approach to powder forming, with emphasis on tabletting. Uniquely, this uses a discrete scheme to capture gross particle movement and a finite element analysis to compute particle deformation, including the ability to use different material models for each particle.<br><br>Work in printing and coating research is undertaken within the Welsh Centre for Printing and Coating<br>During the last ten years, this Centre has undertaken fundamental scientific work on high speed, high volume graphics printing processes.<br><br>This has revealed the fundamental understanding that is required to develop these processes scientifically (historically these developments were based on craft knowledge). Drawn on knowledge of thin film hydrodynamics to develop simulation methods and experiments to establish the fundamental process understanding. This work is now being taken forward with current application in the field of polymer electronics and with a future emphasis on biopolymers and biosensing devices.</p>""]",Null,7030813027,David,Gethin,"[""Academic Office - A129"",""First Floor"",""Engineering East"",""Bay  Campus""]",Professor
61117c38d6f9d1d8a12495b4,"[""<p>Professor Hassan MBE FREng PhD DSc FICE CEng FLSW research interest is in computational methods for the solution of problems in engineering analysis and design. <br><br>Professor Oubay Hassan and Professor Ken Morgan, in close partnership with BAE Systems, and Airbus have led the development of the FLITE system that enable the modelling of problems in computational fluid mechanics an computational electromagnetic.<br><br>An excellent example, which received significant worldwide publicity, was the use of the developed FLITE system to support the aerodynamic design of THRUST SSC, the car which took the World Land Speed Record beyond the speed of sound in 1997.<br><br>Building on his previous success, he has led the team that has developed the CFD technologies that deemed required to ensure a successful aerodynamic design of the new BLOODHOUND Land Speed Record project. The main aim of this project is to use the BLOODHOUND SSC as the platform for provision of high-quality public engagement activities that motivate the next generation to deal with global 21st century challenges.</p>""]",Null,4372053126,Oubay,Hassan,"[""Academic Office - A_136"",""First Floor"",""Engineering Central"",""Bay  Campus""]",Professor
61117c38d6f9d1d8a12495b5,"[""<p style=\""text-align: justify;\""><strong>Prof. Antonio J. Gil</strong> graduated as <strong>Ingeniero de Caminos, Canales y Puertos</strong> from the University of Granada (Spain) in June 1999 (<strong>ranked 1st nationally</strong>) after having spent one academic year (1998-1999) in the University of California Davis fully funded by a prestigious California scholarship programme. After a two-year Certificate of Advanced Studies (MSc) in the field of Computational Mechanics, he moved to Swansea University where he completed his PhD in the field of computational analysis of nonlinear structural membranes in January 2005 (<strong>winner of the UK Association of Computational Mechanics best PhD paper 2004</strong>). </p>"",""<p style=\""text-align: justify;\"">Having been awarded the <strong>National 1<sup>st</sup> Prize by the Spanish Ministry of Education in 2000</strong>, he has since received a number of further research prizes both as Principal Investigator and PhD supervisor, including the prestigious <strong>UK Philip Leverhulme Prize in 2011</strong> and the <strong>ECCOMAS 2016 Olgierd Cecil Zienkiewicz award</strong> for his contributions as a young investigator in the field of computational mechanics.</p>"",""<p><a href=\""/media/Antonio-Gil-CV.pdf\"">Curriculum Vitae</a></p>"",""<p><a href=\""/media/Antonio-Gil-Publications.pdf\"">Full list of publications</a></p>"",""<p> </p>""]",Available For Postgraduate Supervision,2628949666,Antonio,Gil,"[""Academic Office - A_133"",""First Floor"",""Engineering Central"",""Bay  Campus""]",Professor
61117c38d6f9d1d8a12495b6,"[""<p>Research Includes:</p>""]",Null,8911582167,Yuntian,Feng,"[""Academic Office - A_132"",""First Floor"",""Engineering Central"",""Bay  Campus""]",Professor
61117c39d6f9d1d8a12495cd,"[""<p>Research interests:</p>""]",Null,6849649489,Michael,Friswell,[],Professor
61117c39d6f9d1d8a12495ce,"[""<p>Professor Wulf Dettmer's research interests include:</p>"",""<p>Please visit their <a href=\""http://engweb.swan.ac.uk/~cgdettmer/WGD.html\"">personal webpage here</a>.</p>""]",Null,1344595830,Wulf,Dettmer,"[""Academic Office - A_205"",""Second Floor"",""Engineering Central"",""Bay  Campus""]",Professor
61117c39d6f9d1d8a12495d0,"[""<p>Awarded Advanced Research Fellowship from the UK’s Engineering and Physical Research Council (EPSRC) in recognition of innovative research applying atomic force microscopy (AFM) to the characterisation of separation membranes and biological surfaces. This five year award allowed Dr Chris Wright to establish an internationally recognised research group exploiting the capabilities of AFM, on completion the research of the fellowship was reviewed as internationally leading.</p>"",""<p>Research focuses on the characterisation and control of the biological interface and now includes the control of polymer surfaces for improved membrane separation and tissue engineering, the control of bacterial biofouling<br><br>The underlying themes of this research are the application of nanotechnology to process engineering and health care.<br><br>Research has been sustained through major grants from EPSRC, NERC, MRC, TSB, Europe (FP7), charity and industry including Pfizer, GSK and numerous SMEs.<br><br>Over 90 peer reviewed international communications, a book on membrane modification and 15 invited book chapters and review articles.</p>""]",Null,9723241030,Christopher,Wright,[],Dr
61117c39d6f9d1d8a12495d1,"[""<p>Professor Michael Edwards' areas of expertise include:</p>""]",Null,1737520433,Michael,G. Edwards,[],Professor
61117c39d6f9d1d8a12495eb,"[""<p>Dr. Feihu Zhao is a Lecturer of Biomedical Engineering in Zinekiewicz Centre for Computational Engineering (ZCCE), College of Engineering, Swansea University.</p>"",""<p>Before joining Swansea University, Feihu was a Postdoctoral Researcher in the Department of Biomedical Engineering, Eindhoven University of Technology, Netherlands (supervisors: Dr. Sandra Hofmann, Dr. Bert van Rietbergen and Prof. dr. Keita Ito). During his postdoctoral period, Feihu also held an Academic Visitor position in INSIGNEO Institute for in silico Medicine, University of Sheffield from 04/2017 to 07/2017 (host: Prof. Damien Lacroix). Feihu received his PhD degree in Biomedical Engineering from National University of Ireland, Galway, Ireland in 2016 (supervisor: Prof. Laoise M. McNamara), and a MSc(Tech) degree in Machine Automation from Tampere University of Technology, Finland in 2012 (supervisors: Prof. Pasi Kallio and Dr. Sami Pajunen).</p>"",""<p>Feihu’s research is mainly focused on using in silico approach for elucidating and optimising the micro-mechanical environment of cells for bone &amp; cartilage tissue engineering. His research also involves using a combination of computational and experimental techniques (e.g. atomic force microscopy, microfluidics) for investigating cellular biomechanics &amp; mechanobiology. Furthermore, his work has significant impact on cell/tissue engineering products R&amp;D (e.g. biomaterial scaffolds, bioreactors and microfluidic devices).</p>""]",Null,5591965795,Feihu,Zhao,[],Dr
61117c3ad6f9d1d8a12495ed,"[""<p>Dr Deganello's research interests include:</p>""]",Null,6438324105,Davide,Deganello,[],Professor
